Product_Code,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,sax,as,group
P258,[0|2],[0|0],[0|0],[0|1],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|1],[0|2],[0|2],[0|0],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|4],[0|1],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],aaaaaa,0,Group: 0
P657,[0|2],[0|0],[0|0],[0|1],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|1],[0|2],[0|2],[0|0],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|4],[0|1],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],aaaaaa,1,Group: 0
P214,[0|2],[0|0],[0|0],[0|1],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|1],[0|2],[0|2],[0|0],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|4],[0|1],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],aaaaaa,0,Group: 0
P678,[0|2],[0|0],[0|0],[0|1],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|1],[0|2],[0|2],[0|0],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|4],[0|1],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],aaaaaa,0,Group: 0
P770,[0|2],[0|0],[0|0],[0|1],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|1],[0|2],[0|2],[0|0],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|4],[0|1],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],aaaaaa,1,Group: 0
P251,[0|2],[0|0],[0|0],[0|1],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|1],[0|2],[0|2],[0|0],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|4],[0|1],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],aaaaaa,0,Group: 0
P647,[0|2],[0|0],[0|0],[0|1],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|1],[0|2],[0|2],[0|0],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|4],[0|1],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],aaaaaa,0,Group: 0
P470,[0|2],[0|0],[0|0],[0|1],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|1],[0|2],[0|2],[0|0],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|4],[0|1],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],aaaaaa,0,Group: 0
P355,[0|2],[0|0],[0|0],[0|1],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|1],[0|2],[0|2],[0|0],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|4],[0|1],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],aaaaaa,0,Group: 0
P682,[0|2],[0|0],[0|0],[0|1],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|1],[0|2],[0|2],[0|0],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|4],[0|1],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],aaaaaa,2,Group: 0
P469,[0|2],[0|0],[0|0],[0|1],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|1],[0|2],[0|2],[0|0],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|4],[0|1],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],aaaaaa,0,Group: 0
P347,[0|2],[0|0],[0|0],[0|1],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|1],[0|2],[0|2],[0|0],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|4],[0|1],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],aaaaaa,0,Group: 0
P384,[0|2],[0|0],[0|0],[0|1],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|1],[0|2],[0|2],[0|0],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|4],[0|1],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],aaaaaa,2,Group: 0
P227,[0|2],[0|0],[0|0],[0|1],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|1],[0|2],[0|2],[0|0],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|4],[0|1],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],aaaaaa,0,Group: 0
P671,[0|2],[0|0],[0|0],[0|1],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|1],[0|2],[0|2],[0|0],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|4],[0|1],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|1],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],aaaaaa,0,Group: 0
P477,[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|3],[0|1],[0|2],[0|2],[0|1],[0|3],[0|1],[0|1],[0|3],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|3],[0|2],[0|2],[0|1],[0|2],[0|1],[0|0],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|3],[0|2],[0|1],[0|1],[0|3],[0|1],[0|3],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|3],[0|2],aaaaaa,3,Group: 1
P577,[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|3],[0|1],[0|2],[0|2],[0|1],[0|3],[0|1],[0|1],[0|3],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|3],[0|2],[0|2],[0|1],[0|2],[0|1],[0|0],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|3],[0|2],[0|1],[0|1],[0|3],[0|1],[0|3],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|3],[0|2],aaaaaa,1,Group: 1
P439,[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|3],[0|1],[0|2],[0|2],[0|1],[0|3],[0|1],[0|1],[0|3],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|3],[0|2],[0|2],[0|1],[0|2],[0|1],[0|0],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|3],[0|2],[0|1],[0|1],[0|3],[0|1],[0|3],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|3],[0|2],aaaaaa,1,Group: 1
P245,[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|3],[0|1],[0|2],[0|2],[0|1],[0|3],[0|1],[0|1],[0|3],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|3],[0|2],[0|2],[0|1],[0|2],[0|1],[0|0],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|3],[0|2],[0|1],[0|1],[0|3],[0|1],[0|3],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|3],[0|2],aaaaaa,0,Group: 1
P451,[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|3],[0|1],[0|2],[0|2],[0|1],[0|3],[0|1],[0|1],[0|3],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|3],[0|2],[0|2],[0|1],[0|2],[0|1],[0|0],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|3],[0|2],[0|1],[0|1],[0|3],[0|1],[0|3],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|3],[0|2],aaaaaa,0,Group: 1
P751,[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|3],[0|1],[0|2],[0|2],[0|1],[0|3],[0|1],[0|1],[0|3],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|3],[0|2],[0|2],[0|1],[0|2],[0|1],[0|0],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|3],[0|2],[0|1],[0|1],[0|3],[0|1],[0|3],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|3],[0|2],aaaaaa,1,Group: 1
P280,[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|3],[0|1],[0|2],[0|2],[0|1],[0|3],[0|1],[0|1],[0|3],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|3],[0|2],[0|2],[0|1],[0|2],[0|1],[0|0],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|3],[0|2],[0|1],[0|1],[0|3],[0|1],[0|3],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|3],[0|2],aaaaaa,1,Group: 1
P639,[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|3],[0|1],[0|2],[0|2],[0|1],[0|3],[0|1],[0|1],[0|3],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|3],[0|2],[0|2],[0|1],[0|2],[0|1],[0|0],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|3],[0|2],[0|1],[0|1],[0|3],[0|1],[0|3],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|3],[0|2],aaaaaa,1,Group: 1
P380,[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|3],[0|1],[0|2],[0|2],[0|1],[0|3],[0|1],[0|1],[0|3],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|3],[0|2],[0|2],[0|1],[0|2],[0|1],[0|0],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|3],[0|2],[0|1],[0|1],[0|3],[0|1],[0|3],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|3],[0|2],aaaaaa,2,Group: 1
P216,[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|3],[0|1],[0|2],[0|2],[0|1],[0|3],[0|1],[0|1],[0|3],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|3],[0|2],[0|2],[0|1],[0|2],[0|1],[0|0],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|3],[0|2],[0|1],[0|1],[0|3],[0|1],[0|3],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|3],[0|2],aaaaaa,1,Group: 1
P419,[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|3],[0|1],[0|2],[0|2],[0|1],[0|3],[0|1],[0|1],[0|3],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|3],[0|2],[0|2],[0|1],[0|2],[0|1],[0|0],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|3],[0|2],[0|1],[0|1],[0|3],[0|1],[0|3],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|3],[0|2],aaaaaa,2,Group: 1
P756,[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|3],[0|1],[0|2],[0|2],[0|1],[0|3],[0|1],[0|1],[0|3],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|3],[0|2],[0|2],[0|1],[0|2],[0|1],[0|0],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|3],[0|2],[0|1],[0|1],[0|3],[0|1],[0|3],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|3],[0|2],aaaaaa,1,Group: 1
P664,[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|3],[0|1],[0|2],[0|2],[0|1],[0|3],[0|1],[0|1],[0|3],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|3],[0|2],[0|2],[0|1],[0|2],[0|1],[0|0],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|3],[0|2],[0|1],[0|1],[0|3],[0|1],[0|3],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|3],[0|2],aaaaaa,0,Group: 1
P679,[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|3],[0|1],[0|2],[0|2],[0|1],[0|3],[0|1],[0|1],[0|3],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|3],[0|2],[0|2],[0|1],[0|2],[0|1],[0|0],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|3],[0|2],[0|1],[0|1],[0|3],[0|1],[0|3],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|3],[0|2],aaaaaa,0,Group: 1
P777,[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|3],[0|1],[0|2],[0|2],[0|1],[0|3],[0|1],[0|1],[0|3],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|3],[0|2],[0|2],[0|1],[0|2],[0|1],[0|0],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|3],[0|2],[0|1],[0|1],[0|3],[0|1],[0|3],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|3],[0|2],aaaaaa,2,Group: 1
P715,[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|3],[0|1],[0|2],[0|2],[0|1],[0|3],[0|1],[0|1],[0|3],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|3],[0|2],[0|2],[0|1],[0|2],[0|1],[0|0],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|3],[0|2],[0|1],[0|1],[0|3],[0|1],[0|3],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|3],[0|2],aaaaaa,0,Group: 1
P253,[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|3],[0|1],[0|2],[0|2],[0|1],[0|3],[0|1],[0|1],[0|3],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|3],[0|2],[0|2],[0|1],[0|2],[0|1],[0|0],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|3],[0|2],[0|1],[0|1],[0|3],[0|1],[0|3],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|3],[0|2],aaaaaa,0,Group: 1
P428,[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|3],[0|1],[0|2],[0|2],[0|1],[0|3],[0|1],[0|1],[0|3],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|3],[0|2],[0|2],[0|1],[0|2],[0|1],[0|0],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|3],[0|2],[0|1],[0|1],[0|3],[0|1],[0|3],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|3],[0|2],aaaaaa,1,Group: 1
P250,[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|3],[0|1],[0|2],[0|2],[0|1],[0|3],[0|1],[0|1],[0|3],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|3],[0|2],[0|2],[0|1],[0|2],[0|1],[0|0],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|3],[0|2],[0|1],[0|1],[0|3],[0|1],[0|3],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|3],[0|2],aaaaaa,0,Group: 1
P576,[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|3],[0|1],[0|2],[0|2],[0|1],[0|3],[0|1],[0|1],[0|3],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|3],[0|2],[0|2],[0|1],[0|2],[0|1],[0|0],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|3],[0|2],[0|1],[0|1],[0|3],[0|1],[0|3],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|3],[0|2],aaaaaa,0,Group: 1
P666,[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|3],[0|1],[0|2],[0|2],[0|1],[0|3],[0|1],[0|1],[0|3],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|3],[0|2],[0|2],[0|1],[0|2],[0|1],[0|0],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|3],[0|2],[0|1],[0|1],[0|3],[0|1],[0|3],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|3],[0|2],aaaaaa,0,Group: 1
P232,[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|3],[0|1],[0|2],[0|2],[0|1],[0|3],[0|1],[0|1],[0|3],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|3],[0|2],[0|2],[0|1],[0|2],[0|1],[0|0],[0|1],[0|2],[0|1],[0|1],[0|1],[0|1],[0|3],[0|2],[0|1],[0|1],[0|3],[0|1],[0|3],[0|2],[0|2],[0|2],[0|2],[0|2],[0|2],[0|3],[0|2],aaaaaa,0,Group: 1
P256,[0|1],[0|1],[0|0],[0|1],[0|1],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|1],[0|1],[0|2],[0|2],[0|2],[0|1],[0|1],[0|2],[0|1],[0|0],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|2],[0|2],[0|2],[0|1],[0|3],[0|2],[0|1],aaaaaa,0,Group: 2
P574,[0|1],[0|1],[0|0],[0|1],[0|1],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|1],[0|1],[0|2],[0|2],[0|2],[0|1],[0|1],[0|2],[0|1],[0|0],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|2],[0|2],[0|2],[0|1],[0|3],[0|2],[0|1],aaaaaa,0,Group: 2
P349,[0|1],[0|1],[0|0],[0|1],[0|1],[0|0],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|1],[0|1],[0|2],[0|2],[0|2],[0|1],[0|1],[0|2],[0|1],[0|0],[0|2],[0|1],[0|1],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|2],[0|1],[0|1],[0|1],[0|1],[0|2],[0|2],[0|2],[0|2],[0|2],[0|1],[0|3],[0|2],[0|1],aaaaaa,2,Group: 2
